Date : 2022-05-24 11:22:18
Directory : /Users/huwenjie/Documents/cenneo-os-project
Total : 493 files,  86065 codes, 36589 comments, 15695 blanks, all 138349 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/netif/ppp/pppoe.c                           | C        |        924 |        153 |        122 |      1,199 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/netif/ppp/pppol2tp.c                        | C        |        841 |        182 |        137 |      1,160 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/netif/ppp/pppos.c                           | C        |        615 |        185 |         96 |        896 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/netif/ppp/upap.c                            | C        |        446 |        141 |         91 |        678 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/netif/ppp/utils.c                           | C        |        747 |        124 |         87 |        958 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/netif/ppp/vj.c                              | C        |        440 |        184 |         62 |        686 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/netif/slipif.c.bak                          | C        |        310 |        194 |         55 |        559 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/netif/zepif.c                               | C        |        205 |         64 |         32 |        301 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/network/sys_arch.c                                  | C        |        283 |         47 |         39 |        369 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/scripts/script.cpp                                  | C++      |          4 |          8 |          2 |         14 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/time/time.c                                         | C        |         21 |          6 |          9 |         36 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/urm/init.c                                          | C        |         11 |          2 |          7 |         20 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/urm/protocol.c                                      | C        |         15 |          5 |         10 |         30 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/urm/queue.c                                         | C        |          0 |          0 |          1 |          1 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/urm/sys_urm.c                                       | C        |         11 |          0 |          2 |         13 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/urm/urm.c                                           | C        |        127 |          2 |         29 |        158 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/workspace/user/workspace.c                          | C        |          5 |          0 |          4 |          9 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/Makefile                                            | Makefile |          9 |         11 |         14 |         34 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/README.md                                           | Markdown |        136 |          0 |         20 |        156 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/Makefile                                       | Makefile |         43 |         12 |         22 |         77 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/README.md                                      | Markdown |         43 |          0 |          9 |         52 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/arch/x86/_start.asm                            | nasm     |          6 |          5 |          3 |         14 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/arch/x86/halt.asm                              | nasm     |         10 |          7 |          5 |         22 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/arch/x86/include/interrupt.h                   | C        |         20 |          6 |          8 |         34 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/arch/x86/include/types.h                       | C        |         11 |          3 |          5 |         19 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/arch/x86/interrupt/entry.asm                   | nasm     |         73 |          6 |          4 |         83 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/arch/x86/interrupt/handle.c                    | C        |         28 |          8 |          6 |         42 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/arch/x86/interrupt/trap.asm                    | nasm     |         23 |         10 |          6 |         39 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/arch/x86/io.asm                                | nasm     |         34 |          5 |          3 |         42 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/boota.asm                                      | nasm     |         19 |          7 |          5 |         31 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/bootc.c                                        | C        |        195 |         57 |         59 |        311 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/elf.c                                          | C        |         70 |          9 |         11 |         90 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/elf.h                                          | C        |          0 |          0 |          1 |          1 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/fs.c                                           | C        |        173 |         42 |         23 |        238 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/fs.h                                  | C        |         20 |         18 |         14 |         52 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/head.h                                | C        |        116 |         20 |         26 |        162 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/io.h                                  | C        |         12 |          5 |          7 |         24 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/irq.h                                 | C        |          4 |          0 |          4 |          8 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/color.h                           | C        |        458 |          3 |          4 |        465 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/font.h                            | C        |          7 |          2 |          4 |         13 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/graphics.h                        | C        |         23 |         14 |         14 |         51 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/math.h                            | C        |          4 |          9 |          4 |         17 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/mem.h                             | C        |          6 |          8 |          4 |         18 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/stdarg.h                          | C        |          8 |          7 |          5 |         20 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/stdbool.h                         | C        |         13 |          5 |          8 |         26 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/stdio.h                           | C        |          6 |          8 |          6 |         20 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/stdlib.h                          | C        |          4 |          8 |          4 |         16 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/lib/string.h                          | C        |         17 |         19 |         13 |         49 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/math.h                                | C        |          4 |          9 |          3 |         16 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/mmu.h                                 | C        |          4 |          3 |          3 |         10 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/script.h                              | C        |         13 |          8 |          8 |         29 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/storage.h                             | C        |         35 |         18 |         18 |         71 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/includes/vi.h                                  | C        |         28 |         23 |         22 |         73 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/lib/font.c                                     | C        |      2,689 |        264 |        279 |      3,232 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/lib/graphics.c                                 | C        |        146 |         25 |         21 |        192 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/lib/math.c                                     | C        |          6 |          9 |          3 |         18 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/lib/mem.c                                      | C        |         34 |         33 |          7 |         74 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/lib/string.c                                   | C        |        149 |         74 |         35 |        258 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/lib/vsprintf.c                                 | C        |        493 |         56 |         85 |        634 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/mmu.c                                          | C        |         19 |          6 |          4 |         29 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/script.c                                       | C        |         42 |         10 |         22 |         74 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/setup.asm                                      | nasm     |        157 |         52 |         28 |        237 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/storage.c                                      | C        |        276 |         87 |         82 |        445 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/boot/vi.c                                           | C        |        438 |        168 |        145 |        751 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/configure.h                                         | C        |         41 |          7 |          9 |         57 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/mbr/Makefile                                        | Makefile |         12 |          4 |         12 |         28 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/mbr/README.md                                       | Markdown |         16 |          0 |          6 |         22 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/mbr/mbr.asm                                         | nasm     |         65 |         29 |         23 |        117 |
| /Users/huwenjie/Documents/cenneo-os-project/loader/problem.h                                           | C        |         14 |          4 |          6 |         24 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/Makefile                                     | Makefile |         34 |          0 |         15 |         49 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/base.asm                                     | nasm     |         18 |          0 |          5 |         23 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/apis/gui.h                          | C        |          0 |          0 |          1 |          1 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/cnos_scheme.h                       | C        |         20 |          0 |          8 |         28 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/cnos_urm.h                          | C        |          4 |          0 |          4 |          8 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/math.h                              | C        |          4 |          9 |          3 |         16 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/stddef.h                            | C        |          6 |          8 |          4 |         18 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/stdio.h                             | C        |          8 |          7 |          6 |         21 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/stdlib.h                            | C        |          5 |          0 |          6 |         11 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/string.h                            | C        |         19 |         15 |         10 |         44 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/includes/syscall.h                           | C        |         12 |          0 |          6 |         18 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/init.c                                       | C        |          4 |          0 |          6 |         10 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/stdlib.c                                     | C        |          7 |          0 |          6 |         13 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/string.c                                     | C        |        169 |         90 |         37 |        296 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/urm.c                                        | C        |          8 |          0 |          5 |         13 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/appbase/vsprintf.c                                   | C        |        736 |         60 |        130 |        926 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/gfr/Makefile                                         | Makefile |         20 |          9 |         11 |         40 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/gfr/README.md                                        | Markdown |         24 |          0 |          7 |         31 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/gfr/gfr.c                                            | C        |        155 |         54 |         40 |        249 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/gfr/include/config.h                                 | C        |          3 |         11 |          6 |         20 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/gfr/include/info.h                                   | C        |          5 |         11 |          4 |         20 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/gfr/include/return.h                                 | C        |          5 |         11 |          4 |         20 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/gfr/type/img.c                                       | C        |          0 |          0 |          3 |          3 |
| /Users/huwenjie/Documents/cenneo-os-project/tools/gfr/type/vhd.c                                       | C        |          0 |          0 |          3 |          3 |
| Total                                                                                                  |          |     86,065 |     36,589 |     15,695 |    138,349 |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
