Date : 2022-05-24 11:22:18
Directory : /Users/huwenjie/Documents/cenneo-os-project
Total : 493 files,  86065 codes, 36589 comments, 15695 blanks, all 138349 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/dns.h                         | C        |         66 |         48 |         18 |        132 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/err.h                         | C        |         43 |         63 |         12 |        118 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/errno.h                       | C        |        147 |         37 |         15 |        199 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/etharp.h                      | C        |         42 |         47 |         17 |        106 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ethip6.h                      | C        |         17 |         39 |         13 |         69 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/icmp.h                        | C        |         53 |         45 |         13 |        111 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/icmp6.h                       | C        |         23 |         39 |         11 |         73 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/if_api.h                      | C        |         22 |         37 |         12 |         71 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/igmp.h                        | C        |         40 |         62 |         14 |        116 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/inet.h                        | C        |         87 |         55 |         28 |        170 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/inet_chksum.h                 | C        |         51 |         39 |         16 |        106 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/init.h                        | C        |         32 |         55 |         14 |        101 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip.h                          | C        |        170 |        123 |         38 |        331 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip4.h                         | C        |         59 |         36 |         17 |        112 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip4_addr.h                    | C        |        110 |         75 |         32 |        217 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip4_frag.h                    | C        |         43 |         44 |         14 |        101 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip6.h                         | C        |         41 |         39 |         14 |         94 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip6_addr.h                    | C        |        212 |         90 |         51 |        353 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip6_frag.h                    | C        |         60 |         66 |         19 |        145 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip6_zone.h                    | C        |         76 |        192 |         37 |        305 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/ip_addr.h                     | C        |        258 |        131 |         50 |        439 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/mem.h                         | C        |         31 |         38 |         14 |         83 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/memp.h                        | C        |         66 |         69 |         21 |        156 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/mld6.h                        | C        |         33 |         53 |         14 |        100 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/nd6.h                         | C        |         34 |         43 |         14 |         91 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/netbuf.h                      | C        |         61 |         41 |         15 |        117 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/netdb.h                       | C        |         87 |         42 |         22 |        151 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/netif.h                       | C        |        376 |        241 |         57 |        674 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/netifapi.h                    | C        |         53 |         91 |         18 |        162 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/opt.h                         | C        |      1,021 |      2,172 |        334 |      3,527 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/pbuf.h                        | C        |        132 |        158 |         37 |        327 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/altcp_priv.h             | C        |         98 |         40 |         22 |        160 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/api_msg.h                | C        |        177 |         72 |         24 |        273 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/mem_priv.h               | C        |         31 |         43 |         11 |         85 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/memp_priv.h              | C        |         82 |         54 |         26 |        162 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/memp_std.h               | C        |         87 |         44 |         23 |        154 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/nd6_priv.h               | C        |         71 |         51 |         21 |        143 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/raw_priv.h               | C        |         21 |         37 |         12 |         70 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/sockets_priv.h           | C        |         86 |         70 |         20 |        176 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/tcp_priv.h               | C        |        363 |         84 |         77 |        524 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/priv/tcpip_priv.h             | C        |        121 |         35 |         15 |        171 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/autoip.h                 | C        |         28 |         42 |          9 |         79 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/dhcp.h                   | C        |        109 |         48 |         22 |        179 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/dhcp6.h                  | C        |         76 |         46 |         17 |        139 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/dns.h                    | C        |         77 |         46 |         18 |        141 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/etharp.h                 | C        |         56 |         47 |         13 |        116 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/ethernet.h               | C        |         67 |         43 |         16 |        126 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/iana.h                   | C        |         28 |         62 |          8 |         98 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/icmp.h                   | C        |         42 |         41 |          9 |         92 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/icmp6.h                  | C        |         83 |         76 |         14 |        173 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/ieee.h                   | C        |         27 |         58 |          7 |         92 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/igmp.h                   | C        |         36 |         45 |         10 |         91 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/ip.h                     | C        |         16 |         36 |          8 |         60 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/ip4.h                    | C        |         68 |         51 |         13 |        132 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/ip6.h                    | C        |        153 |         62 |         21 |        236 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/mld6.h                   | C        |         28 |         37 |          7 |         72 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/nd6.h                    | C        |        204 |         53 |         18 |        275 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/tcp.h                    | C        |         47 |         41 |         13 |        101 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/prot/udp.h                    | C        |         25 |         36 |          8 |         69 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/raw.h                         | C        |         63 |         56 |         25 |        144 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/sio.h                         | C        |         35 |         92 |         16 |        143 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/snmp.h                        | C        |        120 |         72 |         22 |        214 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/sockets.h                     | C        |        448 |        165 |         76 |        689 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/stats.h                       | C        |        349 |        101 |         42 |        492 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/sys.h                         | C        |        173 |        341 |         47 |        561 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/tcp.h                         | C        |        261 |        164 |         76 |        501 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/tcpbase.h                     | C        |         37 |         38 |         14 |         89 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/tcpip.h                       | C        |         49 |         45 |         20 |        114 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/timeouts.h                    | C        |         59 |         51 |         19 |        129 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/lwip/udp.h                         | C        |        102 |         65 |         29 |        196 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/bridgeif.h                   | C        |         58 |         56 |         15 |        129 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/bridgeif_opts.h              | C        |         19 |         60 |         12 |         91 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/etharp.h                     | C        |          2 |          1 |          1 |          4 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ethernet.h                   | C        |         22 |         44 |         13 |         79 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ieee802154.h                 | C        |         55 |         49 |          9 |        113 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/lowpan6.h                    | C        |         32 |         41 |         17 |         90 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/lowpan6_ble.h                | C        |         30 |         36 |         13 |         79 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/lowpan6_common.h             | C        |         28 |         42 |         13 |         83 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/lowpan6_opts.h               | C        |         37 |         69 |         17 |        123 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/ccp.h                    | C        |         84 |         53 |         28 |        165 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/chap-md5.h               | C        |          4 |         29 |          4 |         37 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/chap-new.h               | C        |        112 |         64 |         25 |        201 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/chap_ms.h                | C        |          8 |         31 |          6 |         45 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/eap.h                    | C        |        111 |         35 |         24 |        170 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/ecp.h                    | C        |         22 |         32 |          9 |         63 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/eui64.h                  | C        |         48 |         41 |         14 |        103 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/fsm.h                    | C        |         95 |         66 |         22 |        183 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/ipcp.h                   | C        |         71 |         48 |         16 |        135 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/ipv6cp.h                 | C        |         36 |        143 |         13 |        192 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/lcp.h                    | C        |        107 |         56 |         17 |        180 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/magic.h                  | C        |         17 |        101 |         13 |        131 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/mppe.h                   | C        |        112 |         53 |         17 |        182 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/polarssl/arc4.h          | C        |         21 |         51 |         10 |         82 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/polarssl/des.h           | C        |         25 |         56 |         12 |         93 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/polarssl/md4.h           | C        |         23 |         62 |         13 |         98 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/polarssl/md5.h           | C        |         23 |         62 |         12 |         97 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/polarssl/sha1.h          | C        |         23 |         62 |         12 |         97 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/ppp.h                    | C        |        371 |        246 |         82 |        699 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/ppp_impl.h               | C        |        408 |        239 |         76 |        723 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/ppp_opts.h               | C        |        250 |        286 |         82 |        618 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/pppapi.h                 | C        |         99 |         27 |         12 |        138 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/pppcrypt.h               | C        |         79 |         42 |         24 |        145 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/pppdebug.h               | C        |         40 |         36 |         13 |         89 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/pppoe.h                  | C        |         92 |         70 |         26 |        188 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/pppol2tp.h               | C        |        108 |         63 |         39 |        210 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/pppos.h                  | C        |         51 |         55 |         21 |        127 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/upap.h                   | C        |         52 |         61 |         19 |        132 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/ppp/vj.h                     | C        |         71 |         77 |         22 |        170 |
| /Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/netif/slipif.h                     | C        |         27 |         50 |         11 |         88 |
