"filename", "language", "C", "C++", "Markdown", "Makefile", "nasm", "comment", "blank", "total"
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/mmu/do_page_fault.c", "C", 29, 0, 0, 0, 0, 12, 10, 51
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/mmu/mmu.c", "C", 15, 0, 0, 0, 0, 6, 7, 28
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/mmu/paging.c", "C", 115, 0, 0, 0, 0, 24, 40, 179
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/mmu/pmb.c", "C", 114, 0, 0, 0, 0, 35, 42, 191
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/power.c", "C", 10, 0, 0, 0, 0, 7, 5, 22
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/syscalls.asm", "nasm", 0, 0, 0, 0, 37, 15, 13, 65
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/task/atomic.asm", "nasm", 0, 0, 0, 0, 36, 15, 9, 60
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/task/init_stack.asm", "nasm", 0, 0, 0, 0, 38, 11, 9, 58
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/task/spinlock.asm", "nasm", 0, 0, 0, 0, 5, 18, 6, 29
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Architectures/x86/task/switch_to.asm", "nasm", 0, 0, 0, 0, 16, 15, 4, 35
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Begin/Desktop/init.c", "C", 7, 0, 0, 0, 0, 9, 5, 21
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Begin/Embedded/init.c", "C", 5, 0, 0, 0, 0, 4, 3, 12
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Begin/Server/init.c", "C", 8, 0, 0, 0, 0, 6, 7, 21
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Begin/begin.h", "C", 26, 0, 0, 0, 0, 3, 8, 37
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Begin/main.c", "C", 63, 0, 0, 0, 0, 26, 33, 122
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Console/Screen.c", "C", 129, 0, 0, 0, 0, 26, 29, 184
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Console/theme.h", "C", 13, 0, 0, 0, 0, 3, 5, 21
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/Keyboard.c", "C", 161, 0, 0, 0, 0, 47, 38, 246
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/Mouse.c", "C", 104, 0, 0, 0, 0, 69, 39, 212
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/acpi/acpi.c", "C", 6, 0, 0, 0, 0, 4, 3, 13
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/acpi/sdt.c", "C", 51, 0, 0, 0, 0, 12, 19, 82
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/graphics.c", "C", 22, 0, 0, 0, 0, 4, 8, 34
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/i8042.c", "C", 81, 0, 0, 0, 0, 26, 23, 130
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/ide/hdd.c", "C", 67, 0, 0, 0, 0, 30, 22, 119
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/ide/hdd.h", "C", 128, 0, 0, 0, 0, 9, 11, 148
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/network/rtl8139/rtl8139.c", "C", 988, 0, 0, 0, 0, 453, 291, 1732
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/network/rtl8139/rtl8139.c.bak", "C", 131, 0, 0, 0, 0, 30, 52, 213
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/pci/dev.c.bak", "C", 29, 0, 0, 0, 0, 4, 5, 38
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/pci/pci.c", "C", 227, 0, 0, 0, 0, 38, 42, 307
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/pci/pci.c.bak", "C", 161, 0, 0, 0, 0, 28, 40, 229
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Drivers/virtio/virtio.c.bak", "C", 52, 0, 0, 0, 0, 15, 23, 90
"/Users/huwenjie/Documents/cenneo-os-project/kernel/FileSystem/cfs.c", "C", 7, 0, 0, 0, 0, 16, 5, 28
"/Users/huwenjie/Documents/cenneo-os-project/kernel/FileSystem/fat32/fat32.c", "C", 135, 0, 0, 0, 0, 28, 22, 185
"/Users/huwenjie/Documents/cenneo-os-project/kernel/FileSystem/fat32/fat32.h", "C", 16, 0, 0, 0, 0, 15, 11, 42
"/Users/huwenjie/Documents/cenneo-os-project/kernel/KernelMemory/kmalloc.c", "C", 96, 0, 0, 0, 0, 45, 29, 170
"/Users/huwenjie/Documents/cenneo-os-project/kernel/KernelMemory/kmalloc.h", "C", 21, 0, 0, 0, 0, 13, 8, 42
"/Users/huwenjie/Documents/cenneo-os-project/kernel/KernelMemory/kmm.c", "C", 47, 0, 0, 0, 0, 5, 15, 67
"/Users/huwenjie/Documents/cenneo-os-project/kernel/KernelMemory/kmm.md", "Markdown", 0, 0, 4, 0, 0, 0, 2, 6
"/Users/huwenjie/Documents/cenneo-os-project/kernel/KernelMemory/kmm_sm.h", "C", 26, 0, 0, 0, 0, 5, 9, 40
"/Users/huwenjie/Documents/cenneo-os-project/kernel/KernelMemory/vmalloc.c", "C", 89, 0, 0, 0, 0, 29, 26, 144
"/Users/huwenjie/Documents/cenneo-os-project/kernel/KernelMemory/vmap.c", "C", 18, 0, 0, 0, 0, 6, 7, 31
"/Users/huwenjie/Documents/cenneo-os-project/kernel/LogMonitor/klsm.c", "C", 49, 0, 0, 0, 0, 7, 17, 73
"/Users/huwenjie/Documents/cenneo-os-project/kernel/Makefile", "Makefile", 0, 0, 0, 45, 0, 9, 19, 73
"/Users/huwenjie/Documents/cenneo-os-project/kernel/README.md", "Markdown", 0, 0, 26, 0, 0, 0, 9, 35
"/Users/huwenjie/Documents/cenneo-os-project/kernel/cpp/support.cpp", "C++", 0, 14, 0, 0, 0, 32, 3, 49
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/function.c", "C", 96, 0, 0, 0, 0, 40, 14, 150
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/gui_api.c", "C", 19, 0, 0, 0, 0, 21, 9, 49
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/init.c", "C", 39, 0, 0, 0, 0, 20, 15, 74
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/layer.h", "C", 25, 0, 0, 0, 0, 17, 12, 54
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/manage.c", "C", 146, 0, 0, 0, 0, 105, 64, 315
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/recourse.h", "C", 26, 0, 0, 0, 0, 10, 9, 45
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/refresh.c", "C", 56, 0, 0, 0, 0, 30, 15, 101
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/window/lib.c", "C", 115, 0, 0, 0, 0, 69, 37, 221
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/window/picture.c", "C", 122, 0, 0, 0, 0, 66, 44, 232
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/window/task_bar.c", "C", 96, 0, 0, 0, 0, 45, 35, 176
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/window/unit.c", "C", 47, 0, 0, 0, 0, 25, 17, 89
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/window/unit.h", "C", 21, 0, 0, 0, 0, 16, 12, 49
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/window/window.c", "C", 253, 0, 0, 0, 0, 149, 104, 506
"/Users/huwenjie/Documents/cenneo-os-project/kernel/gui/window/window.h", "C", 51, 0, 0, 0, 0, 56, 37, 144
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/Console.h", "C", 4, 0, 0, 0, 0, 1, 5, 10
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/acpi.h", "C", 51, 0, 0, 0, 0, 12, 15, 78
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/arch.h", "C", 8, 0, 0, 0, 0, 8, 3, 19
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/cfs.h", "C", 16, 0, 0, 0, 0, 8, 5, 29
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/compiler.h", "C", 2, 0, 0, 0, 0, 0, 0, 2
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/debug.h", "C", 30, 0, 0, 0, 0, 10, 10, 50
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/drivers/Keyboard.h", "C", 7, 0, 0, 0, 0, 6, 6, 19
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/drivers/i8042.h", "C", 17, 0, 0, 0, 0, 21, 15, 53
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/drivers/pci.h", "C", 64, 0, 0, 0, 0, 52, 21, 137
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/drivers/rtl8139.h", "C", 4, 0, 0, 0, 0, 3, 5, 12
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/drivers/virtio.h", "C", 74, 0, 0, 0, 0, 63, 16, 153
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/graphics.h", "C", 12, 0, 0, 0, 0, 3, 7, 22
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/gui.h", "C", 28, 0, 0, 0, 0, 57, 27, 112
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/hdd.h", "C", 8, 0, 0, 0, 0, 8, 6, 22
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/info.h", "C", 9, 0, 0, 0, 0, 3, 4, 16
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/inttypes.h", "C", 211, 0, 0, 0, 0, 18, 42, 271
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/kls.h", "C", 13, 0, 0, 0, 0, 7, 10, 30
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/kmm.h", "C", 25, 0, 0, 0, 0, 17, 17, 59
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/kvi.h", "C", 13, 0, 0, 0, 0, 6, 9, 28
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/lib/byteorder.h", "C", 86, 0, 0, 0, 0, 57, 17, 160
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/lib/elf.h", "C", 73, 0, 0, 0, 0, 9, 13, 95
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/lib/font.h", "C", 10, 0, 0, 0, 0, 12, 7, 29
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/lib/gpl.h", "C", 19, 0, 0, 0, 0, 5, 9, 33
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/lib/math.h", "C", 7, 0, 0, 0, 0, 23, 6, 36
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/lib/string.h", "C", 21, 0, 0, 0, 0, 16, 10, 47
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/lib/url.h", "C", 12, 0, 0, 0, 0, 0, 8, 20
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/mmu.h", "C", 1, 0, 0, 0, 0, 0, 2, 3
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/mouse.h", "C", 16, 0, 0, 0, 0, 18, 10, 44
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/mpt/ipc.h", "C", 3, 0, 0, 0, 0, 0, 6, 9
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/mpt/mpt.h", "C", 77, 0, 0, 0, 0, 24, 33, 134
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/arch/bpstruct.h", "C", 2, 0, 0, 0, 0, 0, 1, 3
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/arch/epstruct.h", "C", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/arch/lwipopts.h", "C", 35, 0, 0, 0, 0, 36, 12, 83
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/arch/sys_arch.h", "C", 31, 0, 0, 0, 0, 38, 11, 80
"/Users/huwenjie/Documents/cenneo-os-project/kernel/includes/network/compat/posix/arpa/inet.h", "C", 1, 0, 0, 0, 0, 30, 3, 34
